num_vtx : edge_density : num_edges | num_groups_hash_level_0 num_groups_hash_level_1 ... | time_spent
15 : 0.75 : 79 | 5, 15 | 0 ms
15 : 0.75 : 78 | 6, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 | 1 ms
15 : 0.75 : 81 | 6, 15 | 0 ms
15 : 0.75 : 82 | 3, 12, 15 | 0 ms
15 : 0.75 : 79 | 6, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 | 1 ms
15 : 0.75 : 75 | 7, 14, 15 | 0 ms
15 : 0.75 : 84 | 7, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 | 1 ms
15 : 0.75 : 82 | 7, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 | 1 ms
15 : 0.7 : 72 | 5, 14, 15 | 0 ms
15 : 0.7 : 81 | 7, 13, 15 | 0 ms
15 : 0.7 : 70 | 5, 15 | 0 ms
15 : 0.7 : 69 | 8, 15 | 0 ms
15 : 0.7 : 79 | 6, 15 | 0 ms
15 : 0.7 : 76 | 5, 14, 15 | 0 ms
15 : 0.7 : 78 | 6, 14, 15 | 0 ms
15 : 0.7 : 75 | 8, 15 | 0 ms
15 : 0.6 : 65 | 6, 15 | 0 ms
15 : 0.6 : 66 | 6, 14, 15 | 0 ms
15 : 0.6 : 63 | 7, 15 | 0 ms
15 : 0.6 : 62 | 8, 15 | 0 ms
15 : 0.6 : 71 | 4, 14, 15 | 0 ms
15 : 0.6 : 64 | 7, 14, 15 | 0 ms
15 : 0.6 : 65 | 5, 14, 15 | 0 ms
15 : 0.6 : 68 | 4, 12, 15 | 0 ms

20 : 0.99 : 187 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 2 ms
20 : 0.99 : 189 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 2 ms
20 : 0.99 : 188 | 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3 | 2 ms
20 : 0.99 : 189 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 2 ms
20 : 0.99 : 189 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 2 ms
20 : 0.99 : 189 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 2 ms
20 : 0.98 : 186 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 2 ms
20 : 0.98 : 187 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 2 ms
20 : 0.98 : 187 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 2 ms
20 : 0.98 : 187 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 2 ms
20 : 0.98 : 189 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 2 ms
20 : 0.98 : 180 | 4, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9 | 2 ms
20 : 0.98 : 185 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 2 ms
20 : 0.98 : 187 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 2 ms
20 : 0.97 : 186 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 2 ms
20 : 0.97 : 181 | 4, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8 | 2 ms
20 : 0.97 : 186 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 2 ms
20 : 0.97 : 181 | 3, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7 | 2 ms
20 : 0.97 : 185 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 2 ms
20 : 0.97 : 188 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 2 ms
